area_type,availability,BHK,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,0,3,Soini T,1254,3,2,38,Khadaki
Super built-up  Area,1,1,Ceove G,600,1,0,38,Khadki
Plot  Area,1,1,0,660,1,0,48,Kharadi
Super built-up  Area,0,2,Soazak ,1330.74,2,2,91.79,Kondhwa
Super built-up  Area,1,2,LancyRe,970,2,0,33,Kondhwa Khurd
Super built-up  Area,0,2,Goted U,1459,2,1,94.82,Koregaon Park
Plot  Area,1,2,0,800,1,1,130,Kothrud
Built-up  Area,1,2,0,869,2,1,36,Law College Road
Super built-up  Area,1,2,Bhncyis,1270,2,1,50,Laxmi Road
Super built-up  Area,0,3,Rosha I,1670,3,1,99,Lulla Nagar
Built-up  Area,1,3,Suent V,2010,3,2,91,Mahatma Gandhi Road
Super built-up  Area,1,2,RothaVa,1185,2,2,75,Mangalwar peth
Super built-up  Area,1,3,NCowsar,1600,2,3,75,Manik Bagh
Super built-up  Area,1,2,Dhalsh ,1200,2,2,44,Market yard
Super built-up  Area,1,2,PeBayle,1500,2,2,185,Mukund Nagar
Super built-up  Area,1,2,0,840,2,2,45,Nagar Road
Super built-up  Area,1,2,Laavevi,845,2,1,55,Narayan Peth
Built-up  Area,1,2,HioraTr,1160,2,2,44,Navi Peth
Built-up  Area,1,8,0,3000,8,0,140,Padmavati
Super built-up  Area,1,2,0,1100,2,1,62,Parvati Darshan
Super built-up  Area,0,2,BMineis,1140,2,3,43,Pashan
Super built-up  Area,1,2,0,1220,2,1,57,Paud Road
Super built-up  Area,1,2,0,1005,2,1,36.68,Prabhat Road
Super built-up  Area,0,2,Pruthg ,1358,2,1,80.58,Rasta Peth
Super built-up  Area,1,3,Sonosty,1569,3,1,101,Raviwar Peth
Super built-up  Area,0,2,SNnia E,1240,2,1,70,Sadashiv Peth
Super built-up  Area,1,3,Anavi B,2089,3,2,140,Sahakar Nagar
Super built-up  Area,1,2,0,1206,2,1,48.23,Salunke Vihar
Super built-up  Area,1,2,0,1150,2,3,40,Sasson Road
Built-up  Area,1,3,Viony H,2511,3,3,205,Satara Road
Built-up  Area,1,6,0,4400,6,3,250,Shaniwar Peth
Super built-up  Area,1,3,AdentEl,1660,2,2,105,Shivaji Nagar
Super built-up  Area,0,2,Niareum,1326,2,2,78,Sinhagad Road
Super built-up  Area,1,3,0,1325,2,2,60.8,Somwar Peth
Super built-up  Area,1,3,SJlynro,1499,5,2,102,Swargate
Built-up  Area,1,6,0,3000,7,2,210,Tilak Road
Super built-up  Area,1,3,0,1665,3,2,88,Uruli Devachi
Super built-up  Area,0,2,Tavenew,708,2,2,37,Vadgaon Budruk
Super built-up  Area,1,2,Srire S,1060,2,2,58.06,Wadgaon Sheri
Built-up  Area,1,2,Saenti ,1000,2,2,70,Vishrant Wadi
Super built-up  Area,0,2,0,1000,2,1,28.88,Wagholi
Super built-up  Area,1,3,0,1450,2,2,70,Wakadewadi
Super built-up  Area,0,2,Bhmesy ,1296,2,3,80,Warje
Super built-up  Area,1,3,0,1540,3,2,90,Yerawada
Plot  Area,1,4,Goardth,2894,4,1,245,Alandi Road
Super built-up  Area,1,3,0,1330,2,1,48,Ambegaon Budruk
Built-up  Area,1,2,0,1200,2,1,65,Anandnagar
Built-up  Area,1,3,0,1200,3,1,90,Aundh
Super built-up  Area,1,3,IBityin,2502,3,3,138,Aundh Road
Plot  Area,1,3,BDensar,2400,2,1,150,Baner
Super built-up  Area,1,2,Makeser,1007,2,2,43,Baner road
Super built-up  Area,1,2,Maest N,1200,2,2,50,Bhandarkar Road
Super built-up  Area,1,2,0,966,2,2,49.9,Bhavani Peth
Built-up  Area,1,3,0,1630,2,1,98,Bibvewadi
Built-up  Area,1,3,Brway G,1640,3,2,229,Bopodi
Built-up  Area,1,2,0,782,2,2,55.68,Budhwar Peth
Super built-up  Area,0,2,Oznuean,1260,2,2,66.78,Bund Garden Road
Super built-up  Area,1,3,0,1800,3,3,120,Camp
Super built-up  Area,1,3,Reeroce,1413,2,2,75,Chandan Nagar
Super built-up  Area,1,2,Sonviik,1116,2,1,51.91,Dapodi
Super built-up  Area,1,3,DSgmax ,1530,2,1,45.9,Deccan Gymkhana
Built-up  Area,1,4,0,3700,4,1,225,Dehu Road
Built-up  Area,1,3,Cetattu,2497,3,2,140,Dhankawadi
Super built-up  Area,1,3,Vaens G,1540,2,3,64,Dhayari Phata
Super built-up  Area,0,3,0,1436,3,1,74.75,Dhole Patil Road
Super built-up  Area,0,2,0,1100,2,2,75,Erandwane
Super built-up  Area,1,3,Moity S,1427,3,2,120,Fergusson College Road
Super built-up  Area,1,3,HiahsLa,2061,3,1,200,Ganesh Peth
Built-up  Area,1,4,0,2650,4,2,150,Ghorpade Peth
Super built-up  Area,0,3,Sabixtt,1282,2,2,68.52,Ghorpadi
Built-up  Area,1,2,0,1050,2,1,34,Gokhale Nagar
Built-up  Area,1,3,Sragei ,1600,3,2,65,Gultekdi
Super built-up  Area,0,2,0,945,2,1,54,Guruwar peth
Super built-up  Area,1,2,SyidaCr,1500,2,1,78,Hadapsar
Built-up  Area,1,3,Jahts H,1870,3,3,110,Hingne Khurd
Plot  Area,1,3,Inensba,1600,3,1,75,Jangali Maharaj Road
Super built-up  Area,1,2,Itelaa ,880,1,1,16.5,Kalyani Nagar
Super built-up  Area,1,3,Srier P,1535,3,2,83,Karve Road
Built-up  Area,1,2,Wiowsri,950,2,1,57,Kasba Peth
Super built-up  Area,0,2,Derdsig,1360,2,1,65,Katraj
Super built-up  Area,0,3,0,1280,3,1,50.4,Khadki
Super built-up  Area,0,3,TiaksAa,1260,2,2,85.05,Kharadi
Built-up  Area,1,8,0,5000,8,0,250,Kondhwa
Super built-up  Area,0,5,LedorSa,3050,5,1,213,Kondhwa Budruk
Super built-up  Area,1,3,HMwerCo,1563.05,3,1,105,Kondhwa Khurd
Super built-up  Area,1,2,0,1000,2,1,60,Koregaon Park
Super built-up  Area,0,2,ViensRK,1167,2,1,43.76,Kothrud
Super built-up  Area,1,7,0,4000,7,2,225,Law College Road
Super built-up  Area,1,3,Somumys,1828,3,0,110,Laxmi Road
Super built-up  Area,1,2,HoiewLa,890,2,1,35,Lulla Nagar
Super built-up  Area,1,3,Dwity T,1612,3,3,46.74,Mahatma Gandhi Road
Super built-up  Area,0,3,Brama P,1710,4,2,91.31,Manik Bagh
Super built-up  Area,1,2,VBownre,957,2,1,58,Market yard
Super built-up  Area,0,3,0,1250,2,3,44,Model colony
Super built-up  Area,1,3,Betatsi,2795,4,0,235,Mukund Nagar
Super built-up  Area,1,2,Prcan P,1125,2,2,50,Mundhawa
Super built-up  Area,0,2,Sryalan,1020,2,1,30.6,Nagar Road
Super built-up  Area,1,2,0,1200,2,2,50,Nana Peth
Super built-up  Area,1,3,Soitya ,1735,3,3,135,Narayan Peth
Super built-up  Area,1,3,G conTh,2050,3,1,145,Narayangaon
Plot  Area,1,4,0,3750,4,0,760,Navi Peth
Built-up  Area,1,3,0,1350,2,3,48,Padmavati
Super built-up  Area,0,2,SStusan,1063,2,1,32,Parvati Darshan
Super built-up  Area,1,3,ETens G,1904,3,1,150,Pashan
Built-up  Area,1,4,0,4200,4,2,420,Paud Road
Super built-up  Area,1,3,Hohnari,2000,3,1,175,Pirangut
Super built-up  Area,1,3,Naods W,1425,2,2,75,Pune Railway Station
Super built-up  Area,1,3,GMown E,1500,2,1,64.5,Rasta Peth
Built-up  Area,1,2,GMown E,1060,2,1,60,Raviwar Peth
Built-up  Area,1,3,Sancyra,1470,2,2,70,Sadashiv Peth
Super built-up  Area,0,2,Prarkun,1152,2,1,64.5,Sasson Road
Super built-up  Area,1,3,GMown E,1350,2,1,56,Satara Road
Super built-up  Area,1,3,Srshq T,1550,3,3,65,Senapati Bapat Road
Plot  Area,1,3,0,1500,3,2,100,Shaniwar Peth
Super built-up  Area,1,1,Utntspa,705,1,2,67,Sinhagad Road
Built-up  Area,1,2,GMown E,770,1,1,36,Somwar Peth
Super built-up  Area,1,2,Aniona ,1242,2,3,51,Swargate
Super built-up  Area,1,3,Goateds,1700,3,2,155,Tilak Road
Super built-up  Area,1,3,Soitya ,2144,3,2,145,Uruli Devachi
Super built-up  Area,0,3,Saahaat,1704,3,2,110,Vadgaon Budruk
Super built-up  Area,1,2,GMown E,1070,2,1,52,Wadgaon Sheri
Plot  Area,1,3,0,1846,3,2,300,Viman Nagar
Super built-up  Area,1,2,0,1340,2,2,55.7,Vishrant Wadi
Built-up  Area,1,2,GMown E,1025,2,1,46,Wagholi
Super built-up  Area,1,2,VRave E,1200,2,2,52,Wanowrie
Built-up  Area,0,4,0,2250,4,1,110,Warje
Super built-up  Area,1,3,MaidoPl,1550,2,3,80,Yerawada
Super built-up  Area,1,2,Aiitya ,1200,2,2,60,Anandnagar
Super built-up  Area,1,2,PuziaVe,1327,2,2,98,Aundh
Super built-up  Area,1,2,0,1186,2,2,58,Aundh Road
Built-up  Area,1,3,0,1783,3,1,115,Balaji Nagar
Super built-up  Area,1,3,NRosete,1400,3,2,56,Baner
Super built-up  Area,1,2,0,980,2,1,48,Baner road
Super built-up  Area,1,2,0,1285,2,2,82,Bhandarkar Road
Super built-up  Area,1,3,0,912,2,1,70,Bhavani Peth
Built-up  Area,1,2,Sancya ,1225,2,2,47.6,Bibvewadi
Super built-up  Area,1,2,0,1075,2,1,53,Bopodi
Built-up  Area,1,3,MSingco,1260,2,2,54,Budhwar Peth
Super built-up  Area,1,3,Pyikad ,1282,2,2,48.7,Bund Garden Road
Super built-up  Area,1,3,CaIRSCr,1909,3,2,88,Camp
Super built-up  Area,1,2,Prcesvy,1359,2,1,87,Chandan Nagar
Built-up  Area,1,2,0,1207,2,2,43.5,Dapodi
Plot  Area,1,4,0,1736,6,0,190,Deccan Gymkhana
Super built-up  Area,0,4,0,2850,4,1,428,Dehu Road
Super built-up  Area,1,3,Emstael,1595,3,2,65,Dhankawadi
Built-up  Area,0,3,0,1798,3,2,89,Dhayari Phata
Super built-up  Area,1,3,SNdri N,1475,3,2,78.29,Dhole Patil Road
Super built-up  Area,1,3,HodhiSa,1580,3,3,100,Erandwane
Super built-up  Area,1,2,Syonyph,1295,2,1,65,Fatima Nagar
Built-up  Area,1,6,0,3600,6,0,141,Fergusson College Road
Super built-up  Area,1,1,Itvir M,589,1,1,27,Ganesh Peth
Super built-up  Area,1,3,0,1415,3,3,78,Ganeshkhind
Super built-up  Area,0,3,Klark L,1787,3,2,98.29,Ghorpade Peth
Super built-up  Area,1,3,Klark L,1787,3,2,125,Ghorpadi
Super built-up  Area,1,3,Piityra,1475,2,3,90,Gokhale Nagar
Built-up  Area,1,4,0,2000,4,1,75.5,Gultekdi
Super built-up  Area,0,2,AsastDe,984,2,1,44.28,Guruwar peth
Super built-up  Area,1,3,MacleK ,2405,4,2,260,Hadapsar Industrial Estate
Built-up  Area,1,2,Brnia G,1080,2,2,72,Hingne Khurd
Plot  Area,1,2,0,1500,2,1,115,Jangali Maharaj Road
Super built-up  Area,1,3,0,1900,3,2,119,Kalyani Nagar
Super built-up  Area,0,2,0,805,2,1,22.14,Karve Nagar
Super built-up  Area,1,2,PrityTr,1153,2,2,56.4,Karve Road
Super built-up  Area,1,2,AlEcone,1148,2,2,60,Kasba Peth
Super built-up  Area,1,2,Laowsba,1110,2,2,55,Katraj
Built-up  Area,1,2,Saave R,1100,2,2,42,Khadaki
Super built-up  Area,1,2,Anave S,1290,2,2,110,Khadki
Super built-up  Area,1,3,0,1500,2,1,65,Kharadi
Super built-up  Area,0,2,0,1080,2,2,39,Kondhwa
Super built-up  Area,0,3,Saityat,1933,3,1,129,Kondhwa Budruk
Built-up  Area,1,5,0,3500,5,2,150,Kondhwa Khurd
Built-up  Area,1,2,0,1060,2,2,60,Koregaon Park
Super built-up  Area,0,1,SunceEs,645,1,1,16.45,Kothrud
Super built-up  Area,0,1,SunceEs,645,1,1,16.45,Laxmi Road
Super built-up  Area,1,3,SJcerpe,1644,3,3,84,Lulla Nagar
Super built-up  Area,1,2,Supams ,1285,2,3,72.5,Mahatma Gandhi Road
Plot  Area,1,3,0,1200,3,1,90,Mangalwar peth
Super built-up  Area,1,2,CoapeSo,910,2,1,40,Manik Bagh
Super built-up  Area,1,3,Bisic C,1577,3,1,70,Market yard
Super built-up  Area,1,3,Inntsa ,2420,3,2,185,Mukund Nagar
Super built-up  Area,1,2,KHityry,800,1,1,20,Mundhawa
Built-up  Area,1,2,0,1060,2,2,55,Nagar Road
Super built-up  Area,1,2,BriumMi,1270,2,2,93,Nana Peth
Super built-up  Area,0,2,0,900,2,2,22.5,Narayan Peth
Built-up  Area,1,2,0,1280,2,1,69,Narayangaon
Built-up  Area,1,2,0,1025,2,2,36,Padmavati
Super built-up  Area,0,2,Prarkun,1108,2,1,63,Parvati Darshan
Super built-up  Area,1,3,Calyxy ,3045,3,2,170,Paud Road
Plot  Area,1,4,Thessrm,2900,3,2,300,Pirangut
Super built-up  Area,1,3,JJortom,1500,3,2,75.5,Prabhat Road
Super built-up  Area,1,2,GrrvaGr,1295,2,2,43.9,Pune Railway Station
Super built-up  Area,1,2,PrityTr,1162,2,1,59.9,Rasta Peth
Super built-up  Area,1,2,Usquaya,1035,2,2,49.2,Raviwar Peth
Built-up  Area,1,4,Natic T,1600,4,0,52.8,Sadashiv Peth
Super built-up  Area,1,3,0,1464,3,2,46,Sahakar Nagar
Super built-up  Area,0,3,DSapeSk,1866,2,2,61.58,Salunke Vihar
Super built-up  Area,1,2,Jahtsa ,700,1,1,26,Sasson Road
Super built-up  Area,1,3,Prillot,1804,3,2,120,Satara Road
Super built-up  Area,1,2,0,913,2,1,32,Senapati Bapat Road
Super built-up  Area,0,3,Sodgere,1868,3,2,131,Shaniwar Peth
Built-up  Area,1,2,0,883,2,1,45,Shivaji Nagar
Plot  Area,1,2,0,900,2,1,110,Shukrawar Peth
Super built-up  Area,1,3,0,1664,2,3,73.95,Sinhagad Road
Super built-up  Area,1,3,SoitaCa,2026,3,2,132,Somwar Peth
Super built-up  Area,1,2,Soestin,1210,2,1,80.9,Swargate
Plot  Area,1,4,Sreat R,4111,4,2,250,Tilak Road
Super built-up  Area,1,3,Alestrb,1762,3,3,91.45,Uruli Devachi
Super built-up  Area,1,3,DLhtsen,1252,3,3,55,Vadgaon Budruk
Built-up  Area,1,2,Mauner ,861,2,1,34.5,Wadgaon Sheri
Built-up  Area,1,3,Brnia G,1420,2,1,100,Viman Nagar
Built-up  Area,1,3,GaicaVe,1490,3,1,78.8,Wagholi
Super built-up  Area,1,3,0,1075,2,1,46,Wakadewadi
Super built-up  Area,0,3,Saesttt,1425,2,2,94,Wanowrie
Built-up  Area,1,2,Nae 2El,1200,2,1,40,Warje
Super built-up  Area,1,3,0,1280,2,2,56,Yerawada
Super built-up  Area,1,2,Bhinglv,1084,2,2,50,Alandi Road
Super built-up  Area,0,2,SunceEs,1015,2,2,25.88,Ambegaon Budruk
Super built-up  Area,0,2,GolusLi,1017,2,1,51.25,Anandnagar
Super built-up  Area,1,2,0,1027,2,2,44,Aundh
Super built-up  Area,1,2,Coush W,1069,2,2,45,Aundh Road
Super built-up  Area,1,2,Prersis,1349,2,1,98.2,Balaji Nagar
Super built-up  Area,1,2,NaensGa,1005,2,1,50,Baner
Super built-up  Area,1,2,Arzzo P,1417,2,3,75,Baner road
Plot  Area,0,3,0,1475,3,1,98,Bhandarkar Road
Carpet  Area,1,2,SMikaay,950,2,2,47,Bhavani Peth
Super built-up  Area,1,4,Prave E,2000,4,0,120,Bibvewadi
Super built-up  Area,1,4,Ahriaup,1863,3,2,104,Budhwar Peth
Super built-up  Area,1,2,Priewhi,1010,2,1,29.5,Bund Garden Road
Super built-up  Area,1,3,Shodsth,1425,2,1,70,Camp
Super built-up  Area,1,3,Swadeh ,1450,3,0,100,Chandan Nagar
Super built-up  Area,1,3,Somumys,1847,3,2,105,Dapodi
Super built-up  Area,1,2,Soran U,1100,2,3,45,Deccan Gymkhana
Super built-up  Area,0,1,PrarePa,525,1,1,26,Dehu Road
Super built-up  Area,1,3,Puestig,1665,3,2,95,Dhankawadi
Super built-up  Area,1,4,Prntsrt,1664,4,3,65,Dhayari Phata
Super built-up  Area,1,3,Maerar ,1850,3,3,150,Dhole Patil Road
Super built-up  Area,1,2,Vaesh T,1438,2,3,100,Erandwane
Super built-up  Area,1,3,MaisePa,1560,3,3,115,Fatima Nagar
Super built-up  Area,0,2,0,1350,2,1,55.55,Fergusson College Road
Super built-up  Area,1,3,JRrnauv,1550,3,3,67,Ganesh Peth
Super built-up  Area,0,2,0,1140,2,2,46.5,Ganeshkhind
Super built-up  Area,0,2,0,850,2,2,27,Ghorpadi
Super built-up  Area,1,2,Gotis A,1280,2,2,75,Gokhale Nagar
Built-up  Area,1,2,0,1170,2,2,52,Gultekdi
Super built-up  Area,1,2,Puodse ,1113,2,1,51,Guruwar peth
Super built-up  Area,1,2,Mileeou,1385,2,1,83.09,Hadapsar
Super built-up  Area,0,2,Prarkun,1128,2,1,65,Hadapsar Industrial Estate
Plot  Area,1,2,0,1200,2,2,128,Hingne Khurd
Super built-up  Area,1,3,PhestOn,2390,3,2,415,Kalyani Nagar
Plot  Area,1,4,0,2400,4,1,400,Karve Nagar
Super built-up  Area,1,3,NRowse ,1464,3,2,56,Karve Road
Super built-up  Area,1,2,0,1200,2,2,55,Kasba Peth
Super built-up  Area,1,2,Abncy R,1200,2,2,52,Katraj
Super built-up  Area,1,3,Baowsig,1150,2,1,55,Khadaki
Built-up  Area,1,3,Itala A,1645,3,2,95,Khadki
Super built-up  Area,0,2,0,1000,2,1,67,Kharadi
Plot  Area,1,4,0,2650,4,2,198,Kondhwa
Super built-up  Area,1,2,HMinebo,1192,2,2,74,Kondhwa Budruk
Super built-up  Area,1,3,K borja,2135,3,2,215,Kondhwa Khurd
Super built-up  Area,0,2,Oreldhi,1173,2,1,58,Koregaon Park
Built-up  Area,1,2,Sungspr,1020,2,2,45,Kothrud
Super built-up  Area,1,4,Prtanha,3122,6,2,230,Law College Road
Super built-up  Area,1,3,0,1600,3,3,64,Laxmi Road
Plot  Area,0,2,0,1200,2,0,79,Lulla Nagar
Carpet  Area,1,2,0,1230,2,3,48,Mahatma Gandhi Road
Super built-up  Area,1,2,Clntsrt,1250,2,2,40,Mangalwar peth
Super built-up  Area,1,2,PuamaPa,1325,2,2,76,Manik Bagh
Built-up  Area,1,3,Brngsal,1850,3,1,150,Market yard
Super built-up  Area,0,1,PrarePa,525,0,0,21.53,Model colony
Super built-up  Area,1,2,0,1200,2,2,65,Mukund Nagar
Plot  Area,1,3,0,1350,2,0,140,Mundhawa
Super built-up  Area,0,3,SSestth,1260,3,1,49.36,Nagar Road
Super built-up  Area,1,3,Vancy R,1800,3,0,150,Nana Peth
Built-up  Area,1,2,Miwel M,1100,2,1,43.25,Narayangaon
Super built-up  Area,1,2,SrEndPo,1508,2,1,77,Navi Peth
Carpet  Area,1,3,Puens G,1592,3,2,75,Padmavati
Super built-up  Area,1,2,SagasSa,1388,2,3,57,Parvati Darshan
Super built-up  Area,0,1,SNbay G,630,1,1,28.35,Pashan
Plot  Area,1,3,0,2000,3,2,365,Paud Road
Super built-up  Area,1,3,0,1762,3,1,125,Pirangut
Super built-up  Area,0,2,0,950,2,2,50,Prabhat Road
Super built-up  Area,1,4,Soianal,3252,5,3,335,Pune Railway Station
Super built-up  Area,0,2,Vrenty ,1116,2,1,50,Rasta Peth
Super built-up  Area,1,2,AriosHe,1308,2,2,89.04,Raviwar Peth
Super built-up  Area,1,3,0,1200,3,0,90,Sadashiv Peth
Plot  Area,1,4,0,1500,4,2,230,Sahakar Nagar
Built-up  Area,1,1,0,500,1,1,18.5,Salunke Vihar
Super built-up  Area,1,2,SLureSi,1075,2,1,52,Sasson Road
Super built-up  Area,0,1,Siissi ,530,1,0,11.66,Satara Road
Built-up  Area,1,2,0,1205,2,3,66,Senapati Bapat Road
Super built-up  Area,1,2,Mangsr ,1075,2,2,60,Shaniwar Peth
Built-up  Area,1,2,HovasTe,930,2,2,39,Shivaji Nagar
Super built-up  Area,1,2,Exncene,1380,2,1,60,Shukrawar Peth
Super built-up  Area,1,4,Prersis,2483,5,2,212,Sinhagad Road
Built-up  Area,1,2,Shyas S,1166,2,2,55,Somwar Peth
Super built-up  Area,1,2,NadelCi,1050,2,1,65,Swargate
Super built-up  Area,0,3,Sothadr,2023.71,3,2,275,Tilak Road
Super built-up  Area,1,2,Dhalsh ,1200,2,2,46.8,Uruli Devachi
Super built-up  Area,1,3,Puarent,1600,2,1,108,Vadgaon Budruk
Super built-up  Area,1,3,MaionPa,1935,3,2,110,Wadgaon Sheri
Super built-up  Area,0,1,Maian M,451,1,0,29.9,Viman Nagar
Super built-up  Area,1,3,ShstaAl,1800,3,2,95,Vishrant Wadi
Super built-up  Area,0,3,Shard T,1400,3,0,77,Wagholi
Super built-up  Area,1,3,SoitaCa,1801,3,2,115,Wakadewadi
Built-up  Area,1,2,Neagar ,1451,2,0,90,Wanowrie
Plot  Area,0,2,0,1200,1,1,36,Warje
Super built-up  Area,1,2,Dhalsh ,1160,2,2,44,Yerawada
Built-up  Area,1,2,0,1000,2,1,25,Alandi Road
Super built-up  Area,1,2,Wiowsri,950,2,1,40,Ambegaon Budruk
Built-up  Area,0,3,0,1629,3,2,79,Anandnagar
Built-up  Area,1,3,0,1580,2,0,134,Aundh
Super built-up  Area,0,3,Saityat,1826,3,2,121,Aundh Road
Built-up  Area,1,2,Eladero,1245,2,1,94,Balaji Nagar
Super built-up  Area,1,2,Lancyey,1145,2,2,45.79,Baner
Super built-up  Area,1,2,Suiseit,825,2,1,33,Baner road
Super built-up  Area,0,3,Aroomba,1693,3,3,108,Bhandarkar Road
Super built-up  Area,1,2,Courf T,1113.27,2,2,53,Bhavani Peth
Built-up  Area,1,2,VMowsea,1460,2,1,58,Bibvewadi
Built-up  Area,1,2,S onsMa,1050,2,1,32,Bopodi
Built-up  Area,1,2,Tuentpa,1260,2,2,55,Budhwar Peth
Built-up  Area,1,2,Tovesee,1656,2,1,120,Camp
Super built-up  Area,1,3,Vailsaf,1208,3,1,45,Chandan Nagar
Super built-up  Area,1,3,BrlisCo,1910,3,2,161,Dapodi
Super built-up  Area,1,4,Haestt ,3252,4,1,230,Deccan Gymkhana
Plot  Area,1,2,0,1200,2,1,65,Dehu Road
Super built-up  Area,1,2,BriumMi,1175,2,1,82,Dhayari Phata
Plot  Area,1,2,0,1000,2,0,165,Dhole Patil Road
Super built-up  Area,1,3,PhestOn,2390,3,2,410,Fatima Nagar
Super built-up  Area,1,2,Hoxiaa ,1185,2,0,38,Ghorpade Peth
Super built-up  Area,1,2,VBvenal,750,2,1,38,Ghorpadi
Super built-up  Area,1,3,JRrnauv,1550,3,3,64.5,Gultekdi
Built-up  Area,1,3,Hoeatan,1760,3,2,88,Guruwar peth
Super built-up  Area,1,2,Asity S,1125,2,2,62,Hadapsar
Plot  Area,1,3,0,1350,3,2,150,Hadapsar Industrial Estate
Plot  Area,0,2,0,1000,2,1,55,Hingne Khurd
Built-up  Area,0,2,0,1090,2,2,31.48,Jangali Maharaj Road
Plot  Area,1,2,0,1200,2,0,60,Kalyani Nagar
Super built-up  Area,1,3,PrityTr,1991,4,2,103,Karve Nagar
Super built-up  Area,0,2,DSoodil,1060,2,1,26.5,Karve Road
Super built-up  Area,1,2,SJarkte,1105,2,1,75,Kasba Peth
Built-up  Area,1,2,Dhgraas,985,2,2,67,Katraj
Super built-up  Area,0,3,HiqueMa,1590,3,2,79,Khadki
Super built-up  Area,1,2,Srshq T,1120,2,2,55,Kharadi
Super built-up  Area,1,2,SPontna,1069,2,1,55,Kondhwa
Super built-up  Area,1,3,Prionad,1933,3,2,140,Kondhwa Budruk
Built-up  Area,0,2,PuendWe,1194,2,0,69,Kondhwa Khurd
Super built-up  Area,1,2,Danna S,1150,2,3,69,Koregaon Park
Super built-up  Area,1,2,0,1240,2,2,47.12,Kothrud
Super built-up  Area,1,2,GrrvaGr,1419,2,2,48.1,Law College Road
Super built-up  Area,1,3,Bltonin,2150,4,0,240,Lulla Nagar
Super built-up  Area,1,3,MSanaer,1450,3,2,55,Mahatma Gandhi Road
Super built-up  Area,0,3,Plowsri,1630,3,2,68.29,Mangalwar peth
Super built-up  Area,1,2,Tavenew,708,1,1,40,Manik Bagh
Plot  Area,1,3,0,1000,4,3,110,Market yard
Super built-up  Area,1,2,Ocavees,1250,2,1,76,Mukund Nagar
Super built-up  Area,1,3,Brnia G,1400,2,1,95,Mundhawa
Super built-up  Area,1,3,0,1670,2,3,57,Nagar Road
Super built-up  Area,1,3,SoystAm,1750,3,2,100,Nana Peth
Super built-up  Area,1,2,Prlla C,1404,2,1,71,Narayan Peth
Super built-up  Area,1,3,SMaxyay,1715,2,2,95,Narayangaon
Built-up  Area,0,1,Prarkun,630,1,1,34.65,Navi Peth
Super built-up  Area,1,3,SosicCl,1752.12,3,2,135,Padmavati
Super built-up  Area,1,3,0,1650,3,2,78,Parvati Darshan
Super built-up  Area,1,2,GrrvaGr,1295,2,1,55.47,Pashan
